param_epochs,param_batch_size,param_dense_num,param_optimizer,param_activation,param_loss,mean_test_score,rank_test_score
50,32,75,Adam,relu,categorical_crossentropy,0.43194289207458497,79
50,128,50,sgd,relu,categorical_crossentropy,0.4234846532344818,80
100,64,25,sgd,relu,categorical_crossentropy,0.42280893921852114,81
100,256,25,sgd,relu,categorical_crossentropy,0.420014488697052,82
125,64,25,sgd,relu,categorical_crossentropy,0.41886129379272463,83
100,64,75,sgd,relu,categorical_crossentropy,0.41688801646232604,84
50,32,50,Adam,relu,categorical_crossentropy,0.4156337380409241,85
50,64,50,sgd,relu,categorical_crossentropy,0.4060456931591034,86
125,64,50,Adam,relu,categorical_crossentropy,0.39820516705513,87
125,32,75,Adam,relu,categorical_crossentropy,0.3977221786975861,88
100,256,75,sgd,relu,categorical_crossentropy,0.3965754985809326,89
100,64,50,Adam,relu,categorical_crossentropy,0.3952960669994354,90
125,128,50,sgd,relu,categorical_crossentropy,0.39331128597259524,91
100,256,75,Adam,relu,categorical_crossentropy,0.39139164090156553,92
100,128,25,sgd,relu,categorical_crossentropy,0.39097315073013306,93
50,128,25,Adam,relu,categorical_crossentropy,0.39036100506782534,94
50,256,25,sgd,relu,categorical_crossentropy,0.3891662061214447,95
50,128,75,Adam,relu,categorical_crossentropy,0.3873999774456024,96
100,128,75,sgd,relu,categorical_crossentropy,0.38649760484695433,97
125,64,75,Adam,relu,categorical_crossentropy,0.38587420582771303,98
100,32,75,sgd,relu,categorical_crossentropy,0.3836410939693451,99
100,32,75,Adam,relu,categorical_crossentropy,0.38337079882621766,100
100,32,25,sgd,relu,categorical_crossentropy,0.38275800347328187,101
50,64,75,sgd,relu,categorical_crossentropy,0.3821951925754547,102
50,32,50,sgd,relu,categorical_crossentropy,0.38130195140838624,103
50,64,25,sgd,relu,categorical_crossentropy,0.38037922978401184,104
50,128,75,sgd,relu,categorical_crossentropy,0.3798078536987305,105
50,256,50,Adam,relu,categorical_crossentropy,0.37964401841163636,106
100,32,50,Adam,relu,categorical_crossentropy,0.379384046792984,107
50,32,25,Adam,relu,categorical_crossentropy,0.3777784287929535,108
125,32,50,sgd,relu,categorical_crossentropy,0.3763267457485199,109
125,256,50,sgd,relu,categorical_crossentropy,0.375494521856308,110
125,256,25,sgd,relu,categorical_crossentropy,0.37414400577545165,111
125,256,75,Adam,relu,categorical_crossentropy,0.3739846169948578,112
100,128,50,sgd,relu,categorical_crossentropy,0.37346012592315675,113
125,128,25,sgd,relu,categorical_crossentropy,0.37133092880249025,114
125,128,75,sgd,relu,categorical_crossentropy,0.3699890494346619,115
100,128,50,Adam,relu,categorical_crossentropy,0.3684257328510284,116
100,256,50,Adam,relu,categorical_crossentropy,0.3668133199214935,117
100,32,25,Adam,relu,categorical_crossentropy,0.3655572414398193,118
125,256,75,sgd,relu,categorical_crossentropy,0.3645870745182037,119
50,32,75,sgd,relu,categorical_crossentropy,0.3642221033573151,120
50,128,50,Adam,relu,categorical_crossentropy,0.3632201850414276,121
125,32,75,sgd,relu,categorical_crossentropy,0.3626623749732971,122
125,64,50,sgd,relu,categorical_crossentropy,0.3570504128932953,123
100,64,75,Adam,relu,categorical_crossentropy,0.3546151459217072,124
100,32,50,sgd,relu,categorical_crossentropy,0.35325993299484254,125
125,32,25,sgd,relu,categorical_crossentropy,0.34245585799217226,126
125,128,50,Adam,relu,categorical_crossentropy,0.3422408401966095,127
50,256,50,sgd,relu,categorical_crossentropy,0.3418856382369995,128
50,256,25,Adam,relu,categorical_crossentropy,0.3388208031654358,129
50,32,25,sgd,relu,categorical_crossentropy,0.33841295838356017,130
50,256,75,sgd,relu,categorical_crossentropy,0.338404244184494,131
125,64,75,sgd,relu,categorical_crossentropy,0.33793712854385377,132
100,64,25,Adam,relu,categorical_crossentropy,0.33465616703033446,133
50,64,25,Adam,relu,categorical_crossentropy,0.3298934817314148,134
50,256,75,Adam,relu,categorical_crossentropy,0.3143610119819641,135
100,64,50,sgd,relu,categorical_crossentropy,0.3055298388004303,136
125,128,75,Adam,relu,categorical_crossentropy,0.30521815419197085,137
50,64,75,Adam,relu,categorical_crossentropy,0.27103633284568784,138
125,32,25,Adam,relu,categorical_crossentropy,0.27103633284568784,138
125,256,25,Adam,relu,categorical_crossentropy,0.27103633284568784,138
125,128,25,Adam,relu,categorical_crossentropy,0.27103633284568784,138
100,256,25,Adam,relu,categorical_crossentropy,0.27103633284568784,138
100,256,50,sgd,relu,categorical_crossentropy,0.27103633284568784,138
100,128,25,Adam,relu,categorical_crossentropy,0.27103633284568784,138
