,fixture_id,league_season,league_id,teams_home_id,teams_away_id,fixtures_played_home,s_points_home,l5_points_home,s_avg_ball_possession_home,l5_avg_ball_possession_home,s_avg_total_passes_home,l5_avg_total_passes_home,s_avg_passes_accurate_home,l5_avg_passes_accurate_home,s_avg_shots_on_goal_home,l5_avg_shots_on_goal_home,s_avg_shots_off_goal_home,l5_avg_shots_off_goal_home,s_avg_total_shots_home,l5_avg_total_shots_home,s_avg_shots_insidebox_home,l5_avg_shots_insidebox_home,s_avg_shots_outsidebox_home,l5_avg_shots_outsidebox_home,s_avg_blocked_shots_home,l5_avg_blocked_shots_home,s_avg_corner_kicks_home,l5_avg_corner_kicks_home,s_avg_goalkeeper_saves_home,l5_avg_goalkeeper_saves_home,s_avg_offsides_home,l5_avg_offsides_home,s_avg_fouls_home,l5_avg_fouls_home,s_avg_yellow_cards_home,l5_avg_yellow_cards_home,s_avg_red_cards_home,l5_avg_red_cards_home,fixtures_played_away,s_points_away,l5_points_away,s_avg_ball_possession_away,l5_avg_ball_possession_away,s_avg_total_passes_away,l5_avg_total_passes_away,s_avg_passes_accurate_away,l5_avg_passes_accurate_away,s_avg_shots_on_goal_away,l5_avg_shots_on_goal_away,s_avg_shots_off_goal_away,l5_avg_shots_off_goal_away,s_avg_total_shots_away,l5_avg_total_shots_away,s_avg_shots_insidebox_away,l5_avg_shots_insidebox_away,s_avg_shots_outsidebox_away,l5_avg_shots_outsidebox_away,s_avg_blocked_shots_away,l5_avg_blocked_shots_away,s_avg_corner_kicks_away,l5_avg_corner_kicks_away,s_avg_goalkeeper_saves_away,l5_avg_goalkeeper_saves_away,s_avg_offsides_away,l5_avg_offsides_away,s_avg_fouls_away,l5_avg_fouls_away,s_avg_yellow_cards_away,l5_avg_yellow_cards_away,s_avg_red_cards_away,l5_avg_red_cards_away,exp_home_goals_ft,exp_away_goals_ft,result_prob_ft_home,result_prob_ft_draw,result_prob_ft_away,full_time_result
fixture_id,1.0,0.72830809105403,-0.08228700305779202,0.1949508305311598,0.1936322429660305,-0.08818780550635931,-0.0721014842919394,-0.004952020171503724,0.0799453558095348,0.038757668076353106,0.14202416711941127,0.11398795220509762,0.11969335313268155,0.09346469062536059,-0.014233804511473918,-0.02497491506659747,-0.07360523198384916,-0.07620767719300851,0.021517881348823552,-0.00468428912043883,0.15030317753846711,0.10632836411663253,-0.006548141890988742,-0.02327260150723261,0.13954539227715995,0.10077849688577403,-0.02474761106975265,-0.03550850473895676,-0.03812063926128735,-0.06048259235917731,-0.10852899737196338,-0.10114115514070644,0.015871204594848743,-0.022087747659471583,-0.015916262078774706,-0.05625863449320992,-0.0014536553107668399,-0.0026243115208160243,-0.08806431494710237,-0.07079333607290393,0.00017604030223314615,0.07771280373913483,0.03357331384286384,0.1407202421970275,0.11051015688865183,0.11804158398541188,0.08937152378495983,-0.018803565818329062,-0.04287649204187385,-0.07721989502359122,-0.08826533686217618,0.017633351138845857,-0.01829703756027279,0.14622775697869572,0.09603099095324531,-0.007084907066291413,-0.02793169187634803,0.1392581239061214,0.0950861998350645,-0.02614446409031561,-0.04882505360242211,-0.03374601044797928,-0.04645466421418166,-0.10899540736204517,-0.10280685755800063,0.016840961684487243,-0.018609482099324604,-0.011255166694628964,-0.04748564080628032,0.0013254380689909598,-0.0141515262158483,-0.04055810948866705,0.028237958138559095,-0.05416228906442346,0.02333382212861552,0.04863295728468132,0.014864637046299438
league_season,0.72830809105403,1.0,-0.057169849399995566,0.20202565453231527,0.20033247823257627,-0.10188096548731734,-0.08596964490986755,-0.009020163841590146,0.12237410186033197,0.06342019301508701,0.22537268549057515,0.18225189569495567,0.1968013543209738,0.15752081163567686,0.005797660096790549,-0.021258677410579654,-0.011602164136865462,-0.03825776781284208,0.10066743007341579,0.052773934447063395,0.26534913784785574,0.19966591755721455,0.08716465492758987,0.045445434138563834,0.24637331018341146,0.18515059210575155,0.027341729115082227,-0.014201171352904465,-0.021579499451064403,-0.051815080800308506,-0.1119150943240725,-0.1290970258609789,0.3825387681173058,0.34859222536082096,-0.022725338726241957,-0.0343065402306841,-0.002475472096254669,-0.0012000241157992789,-0.10176090502599859,-0.08404554355884945,-0.002696113052411615,0.12140936408490384,0.06020833055125624,0.2244212362958923,0.17988051462374804,0.1955508658564417,0.15457753968207738,-0.0005355906715338074,-0.038884369574390815,-0.016560238241602614,-0.05217388114656186,0.09724187300683058,0.03853626679803693,0.26197302334749606,0.18807652906960162,0.08727125329665654,0.04170054788500975,0.2472312364950568,0.17931802866560329,0.024750581443294787,-0.030832287173306612,-0.01973652999955733,-0.03848645478878973,-0.11160705316794578,-0.13032428630188278,0.38350995921662867,0.35278334986403553,-0.015799441959547786,-0.027200224692818322,-0.0022226805986305504,-0.011332415113381965,-0.02328915104897804,0.036728287857364594,-0.041566089119020246,0.004605625878924883,0.04269503897610207,0.00997901672810812
league_id,-0.08228700305779202,-0.057169849399995566,1.0,0.21019051906272013,0.20994983091400074,-0.02752759185829901,-0.029168189555719183,-0.0064415660957097606,0.1416465845418318,0.045537866694946284,-0.03825231754187112,-0.07904127746095174,0.007129624367057743,-0.024439898573154387,0.09601291911315919,0.019079654775754892,0.18898732506394014,0.08946373162559021,0.05202825355375079,-0.03041519915941225,-0.10586399910545909,-0.1407015677373124,-0.03789243002468458,-0.09609706273564902,-0.1687155804837517,-0.18368985522140943,0.04756370190631746,-0.020220384582135705,0.14320908313818476,0.06072733938536882,0.23886238948004496,0.1461824962919971,0.2963543677391353,0.27220638215296983,0.5349330318355552,0.4360525996885919,0.024590406357534796,0.061801468168720626,-0.027532630455491987,-0.03141498500871279,-0.011893432424897075,0.14027985550493796,0.040782306009676875,-0.03978066450287369,-0.0803692805298601,0.005367174610168547,-0.0261869598418436,0.09585459629959435,0.03028732607031624,0.18877651192305986,0.10074033507294931,0.050106583159130136,-0.021108523274033696,-0.10503167846318806,-0.13408147269177517,-0.04122784308481241,-0.0950569453663751,-0.17133640511065662,-0.18482997396221593,0.047154188997796276,-0.016143245096250043,0.13917737840627945,0.04629178005030081,0.23821490811649768,0.15051461759679632,0.2976324781136199,0.2728918088002988,0.5339934934690971,0.4356502696768736,0.015235565692464696,0.061792270790017555,0.006128573406819975,-0.04724422505677666,0.03215489133065643,0.027930817399323703,-0.045748154783848194,-0.032272758189840635
teams_home_id,0.1949508305311598,0.20202565453231527,0.21019051906272013,1.0,0.2991853397243159,-0.005639362849517786,-0.05755099440622167,-0.06741953994661953,-0.07278539377653886,-0.07171960045599235,-0.13495985003047484,-0.1448943969419152,-0.15075258563033136,-0.15994956483196782,-0.12796074516778813,-0.10358727988458592,-0.11547592388308518,-0.08167297318467645,-0.12702771904676619,-0.11151218328196211,-0.0939423040419807,-0.09157669817967429,-0.07735003953769169,-0.06903458772046354,-0.06870263010632169,-0.061690750665914784,-0.08646909328085424,-0.054726291565888575,-0.036097771792253604,-0.020959234488874802,-0.05744112860354129,-0.04104774194816389,0.10165716585906903,0.10528852339691928,0.06600090398700532,0.06275179430163051,-0.0003494794454254584,0.02407646397797432,-0.006151177411746507,-0.003490084821943342,0.009090077654136716,-0.022880539812649838,-0.019421540080978485,-0.1092614703782688,-0.11745704958097326,-0.11862728423615501,-0.12597152941639295,-0.07296323431445106,-0.057559961553157776,-0.05329169159592735,-0.03896735025650564,-0.07203686435219543,-0.06475467263142388,-0.062433375918174515,-0.05858711061846712,-0.050630277183294194,-0.044174247275343435,-0.049637533846809946,-0.04556916585666819,-0.056080136336626264,-0.04485110359412332,-0.05930953307340003,-0.04416804743772647,-0.028739710816964605,-0.01353422302290706,0.10897269451510246,0.10912161321511284,0.07189177292707018,0.07115273491030363,0.00961916397206365,0.013270639663580927,-0.07076810858767447,-0.015244541068397883,-0.050537504059493546,0.07801532135439902,0.022662280223089998,-0.006210205428730712
teams_away_id,0.1936322429660305,0.20033247823257627,0.20994983091400074,0.2991853397243159,1.0,-0.008100698765238331,-0.008252572477716491,0.005597185416575941,-0.02325171223484114,-0.02449209132009294,-0.10738002492857032,-0.11710025826409634,-0.11700752476369898,-0.12596446436760983,-0.07557202644974734,-0.05362679168628098,-0.0499396882494572,-0.030129526373845382,-0.07103583762817184,-0.05583570788139924,-0.060308713183098175,-0.05155884100956492,-0.047610302079359776,-0.042752227650788364,-0.05109539790464144,-0.04042367492939386,-0.05676104727517268,-0.03731466119681757,-0.050059012423648616,-0.03855952162891822,-0.01835769480356857,-0.01741427813310253,0.10962566390561448,0.1120093074577115,0.07137666956129189,0.07053544724984023,0.006539915466979956,0.011582550357991465,-0.007592617269541733,-0.05954057005142462,-0.07236709418642999,-0.07144385207994287,-0.06889514674883461,-0.13402525319526915,-0.14391650582860926,-0.15021987481964058,-0.1596307282042653,-0.1289807054139676,-0.1088225779009047,-0.11171549730961138,-0.0832310429463514,-0.12848956685563565,-0.11555374616192216,-0.09444276806123571,-0.09520453737842058,-0.07665456859174051,-0.06894261489269879,-0.06820545887647445,-0.0676795112648466,-0.08920754225998447,-0.0612071818899617,-0.030677796277916954,-0.011297040128888712,-0.05724673009135688,-0.04373606048409161,0.1030823934838162,0.10652698232528576,0.06514610097561599,0.06464783519660462,0.002451906014903703,0.018596698966448947,-0.012673061663491319,-0.07329131313392451,0.03498221492237434,0.057687331454608914,-0.060797109680442864,-0.022339304826275073
fixtures_played_home,-0.08818780550635931,-0.10188096548731734,-0.02752759185829901,-0.005639362849517786,-0.008100698765238331,1.0,0.8222627420168069,0.012000878471446147,-0.012533056596899583,0.003102230988036761,0.012357541963941752,0.004674920210728906,-0.010183869472416528,-0.018450213545739176,-0.039840698012463434,-0.030587615270202664,-0.05407040549139792,-0.04746127075577642,-0.033456638473057715,-0.03810444783681847,-0.01744869204625209,-0.00766918835000192,-0.03542423743738534,-0.04560348884007856,-0.007191416162806837,-0.010888110434123868,-0.009219292350817343,-0.005724746715208797,-0.05375448927502688,-0.033590921356603236,0.00033204608444965355,0.0071997354811027744,-0.03252882851719582,-0.03144764459777346,-0.042426123261265145,-0.07553635837751901,-0.07107907429600914,-0.010819086417908052,0.9986519509889932,0.8221434546248841,0.007435157644566739,-0.01580789767370781,0.0021012249015927385,0.011842904417264183,0.005996462062546539,-0.010685259411039857,-0.016669125394678692,-0.05119457731692781,-0.03314561668370733,-0.0639387164215347,-0.04876516303414644,-0.04654518810275823,-0.0417709520298406,-0.028558623586139097,-0.010007689840567482,-0.04024628353368754,-0.04690752049579748,-0.014194485031790082,-0.01420457958081311,-0.023996952682885472,-0.009433347800878079,-0.04818510350824393,-0.03886413838232695,-0.0022066055899988895,0.0070838360079277345,-0.03208588862930745,-0.02992405557161108,-0.03561649390158143,-0.07306784163672647,-0.07335610706402314,-0.006868917601041289,-0.02362625521928444,-0.046271636391033315,0.021253490378953837,0.020717952457713577,-0.031149617281711305,0.0112700094569585
s_points_home,-0.0721014842919394,-0.08596964490986755,-0.029168189555719183,-0.05755099440622167,-0.008252572477716491,0.8222627420168069,1.0,0.38837100528178986,0.17256647150671078,0.20753588921467275,0.14911311881379308,0.1526866772178268,0.15988452093433295,0.16324174857717477,0.23721746441255856,0.20750137664356919,0.08470060643928452,0.061981899470118694,0.18169107976313487,0.1552709483033157,0.16076433218509156,0.15705092471602056,0.048844142071672696,0.03047981973635408,0.09764795050202638,0.07352851537650747,0.16190067382068224,0.13351928040634503,-0.19380053919166051,-0.13731606264764676,0.0572093831905153,0.053190842490608944,-0.06500283324032319,-0.0687583441095269,-0.11699593056743829,-0.13740007060837195,-0.060726879246100006,-0.02552794889084288,0.8223814697642982,0.6549701890114311,-0.053360944894372056,-0.026576256125936126,-0.004761107836855199,0.006788671517746332,0.004739121216651887,-0.013633449465296361,-0.014851490953642906,-0.05521647988746225,-0.03131524348529371,-0.06263230781960934,-0.049383292568317035,-0.04944220793015248,-0.03990737191939137,-0.027188517031378267,-0.008785040258437144,-0.03359937074578504,-0.03733767052254439,-0.013809488784514334,-0.00998907583678647,-0.0324562113753785,-0.008806938737136451,-0.037749967049011283,-0.03522897300471363,-0.005656450762952679,0.008700003209642267,-0.02997065816522788,-0.025415663467723844,-0.030784848652605785,-0.062484630363919505,-0.05993958863378024,-0.005366537814627708,0.23050673839093466,-0.23315572354602995,0.3224058948645686,-0.09069793172541678,-0.30895896548655827,-0.05275175411172437
l5_points_home,-0.004952020171503724,-0.009020163841590146,-0.0064415660957097606,-0.06741953994661953,0.005597185416575941,0.012000878471446147,0.38837100528178986,1.0,0.21933186409378416,0.20688060329569352,0.16410549980740236,0.15907407791679568,0.19885794194891523,0.19199003392228137,0.373209115039894,0.443239240485472,0.16936363778372426,0.10279115956462796,0.2826576486122461,0.2800512217670369,0.23631606065451782,0.2589220737550489,0.09924174434338887,0.07686279487197802,0.13822042495710193,0.08294728172256158,0.2199080472048255,0.15161547054037597,-0.20418036909997075,-0.16444694328374684,0.06778707217600377,0.07743370107776973,-0.04371777348765352,-0.05199094730178072,-0.09722978841691049,-0.11248450110390067,-0.012955372628372479,-0.05206505614806575,0.013199501770330045,-0.05183938024823834,-0.18312892356044058,-0.03709184115863086,-0.032483989598601035,-0.02217611958615002,-0.020420704561040972,-0.028276808930337786,-0.02583128881651003,-0.040035482105680295,-0.032907553194514855,-0.032718138114570194,-0.027849050326085114,-0.03807300021948445,-0.03181889679178696,-0.02613427458039616,-0.024699293050439625,-0.011086130396982995,-0.008949750387102613,-0.018812226741371285,-0.010039438563784364,-0.03452187912991896,-0.02613876714789442,0.024109630372991134,0.016329927655559077,-0.0030359829911943787,0.006605716738079431,-0.0023828626710131265,0.0018913537123791322,0.007451401535833976,0.0016784456603091645,-0.0013436332489580897,-0.002875664222138147,0.3576323068902207,-0.28515095825081266,0.42831161432183107,-0.14063462702124307,-0.402311743987825,-0.15470754324794608
s_avg_ball_possession_home,0.0799453558095348,0.12237410186033197,0.1416465845418318,-0.07278539377653886,-0.02325171223484114,-0.012533056596899583,0.17256647150671078,0.21933186409378416,1.0,0.8036389110271729,0.5911408156507986,0.5106167893352523,0.6261388018870263,0.5507795558971952,0.6662753189031578,0.43451211788351574,0.5995124676509416,0.3508266412056068,0.7070981692502972,0.477568156075472,0.4962254799991625,0.3566858178155044,0.4046448756063651,0.2591827274799348,0.4264844051337894,0.27612394046411753,0.6648618522618047,0.3883729347621019,0.15350044506704935,0.012904008001891055,0.3259606675441028,0.1612548469766482,0.23490671111084022,0.14607507181365217,0.25327672738049883,0.11904080274693568,0.00043545903869531336,-0.0017125902534981384,-0.011211120054285519,-0.02433949749913447,-0.033939757697391625,0.537792625315209,0.34029291569727577,0.2921285632156788,0.2141789033195837,0.26608136205105565,0.19733680810959436,0.3284567062500605,0.16433918818866308,0.3964129228580634,0.19202208621748576,0.4079619022836012,0.22078548481951113,0.27709212583679016,0.1603854275710195,0.2658183617604391,0.13493134293167722,0.24999061919171284,0.13336430327614557,0.3775368923340957,0.17766023483169024,0.3191826013953884,0.13417275460186415,0.2697586284392533,0.11971831072113918,0.28899095123925794,0.20310113747273723,0.3210449937938552,0.1788788382393631,0.006812863991636683,0.009412191708943755,0.23025818784012442,-0.10271742691969035,0.22583016775368647,-0.131844719935799,-0.1888195529319959,-0.0327315948224308
l5_avg_ball_possession_home,0.038757668076353106,0.06342019301508701,0.045537866694946284,-0.07171960045599235,-0.02449209132009294,0.003102230988036761,0.20753588921467275,0.20688060329569352,0.8036389110271729,1.0,0.5070624956742292,0.5850117036688293,0.5484101865899167,0.629133732004692,0.5593410241828365,0.48226117255671636,0.4545145417115142,0.4362728793375872,0.5730956370187622,0.5763860025382394,0.42347531761101936,0.42859528755815124,0.3322045628085731,0.34617119325808837,0.3636578306804351,0.36458755206758175,0.5319410443846775,0.49565027966994746,0.01326067974908173,-0.05283098311256337,0.22660309984468208,0.17580244567585204,0.0865717136866919,0.07215304110839492,0.09299375467280703,0.05549280158158229,-0.0065480890315194875,-0.03256939048988524,0.004720231572594499,-0.0068303557895890085,-0.029612159303864724,0.3373722794413031,0.33287037325488245,0.20324146551955333,0.20165981134054245,0.1832539643604961,0.1800538189346715,0.20750309763767602,0.16023396342736423,0.2477995679243406,0.18645822962304084,0.26672198205837394,0.22244476437521027,0.1969751342624462,0.1743272877240066,0.19131114601680024,0.16022644501147307,0.1830839597611362,0.14668009401335902,0.23877921254493595,0.1809738170728009,0.19286065320469245,0.12968222178171748,0.16797602831420483,0.12140160543866899,0.1427885785248561,0.13385680978552464,0.1700166472425811,0.13085074218831205,0.003838944204660277,0.002429759719008442,0.23938021000179407,-0.11712866372105242,0.24078730582473384,-0.1331201352413967,-0.20433716620994868,-0.030370658128653694
